,time,electrolyser_detailed1.Pelec,lcoh.cost,gas_demand,electrolyser_detailed1.electrochemical.efficiency2,storage2.S_storage,controller_P2G3.Pmin,controller_P2G3.Pmax,electrolyser_detailed1.nH2,P_order,ptg_switch
0,0.0,50.0,-13.222813678071724,0.001893015,0.7018622275985907,50.0,23.0,23.0,0.0038808619174889297,50.0,0.0
1,900.0,49.99999999999999,-13.430701706310693,0.001893015,0.7128968498917908,50.0181859763325,13.125342265788102,13.125342265788102,0.003941876520850726,50.0,0.0
2,1800.0,49.99999999999999,-13.566907172837922,0.001893015,0.7201265874102467,50.036816930325855,12.404226159007933,12.404226159007933,0.003981852476110229,50.0,0.0
3,2700.0,49.99999999999999,-13.661988716836499,0.001893015,0.7251734818079968,50.05574890473902,11.900975080578478,11.900975080578478,0.0040097586655298105,50.0,0.0
4,3600.0,50.0,-13.73117958930205,0.001891233,0.7288461086074424,50.07489546093806,11.53482867996581,11.53482867996581,0.004030066009225858,50.0,0.0
5,4500.0,49.99999999999999,-13.78306176261619,0.001891233,0.7315999958376094,50.09421656962052,11.228239976861893,11.228239976861893,0.004045293294092265,50.0,0.0
6,5400.0,50.0,-13.822720622249212,0.001891233,0.7337050739430517,50.1136577008711,11.018420541646769,11.018420541646769,0.004056933067728043,50.0,0.0
7,6300.0,50.0,-13.853499319137146,0.001891233,0.7353387961814716,50.13319127915394,10.85559441538257,10.85559441538257,0.004065966536362666,50.0,0.0
8,7200.0,50.0,-13.877660546933845,0.001884103,0.7366212655239103,50.15279701647163,10.727783238553755,10.727783238553755,0.004073057794783064,50.0,0.0
9,8100.0,50.0,-13.897032894916158,0.001884103,0.7376495428361158,50.172524146008264,10.496977087719582,10.496977087719582,0.0040787435292543575,50.0,0.0
10,9000.0,49.999999999999986,-13.912475105405962,0.001884103,0.7384692098538393,50.192297043194436,10.415295026861981,10.415295026861981,0.004083275778446608,50.0,0.0
11,9900.0,49.99999999999999,-13.924850864721506,0.001884103,0.7391261107383945,50.21210652134233,10.349834792011613,10.349834792011613,0.004086908032080142,50.0,0.0
12,10800.0,50.00000000000001,-13.934811312337649,0.00187519,0.7396548077405566,50.23194537874354,10.297151193542932,10.297151193542932,0.0040898313979216136,50.0,0.0
13,11700.0,49.99999999999999,-13.943141569467441,0.00187519,0.7400969748139141,50.25188853059283,10.092666187919393,10.092666187919393,0.0040922763070343786,50.0,0.0
14,12600.0,49.999999999999986,-13.949885416999757,0.00187519,0.7404549358324125,50.27185151586938,10.056997129716361,10.056997129716361,0.004094255608997085,50.0,0.0
15,13500.0,49.99999999999999,-13.95535725442673,0.00187519,0.7407453790088085,50.29183057556234,10.028056217264147,10.028056217264147,0.004095861579254703,50.0,0.0
16,14400.0,49.999999999999986,-13.959805054089651,0.001869843,0.7409814666264166,50.31182268956492,10.004531721461644,10.004531721461644,0.004097166997053722,50.0,0.0
17,15300.0,50.0,-13.963594439600012,0.001869843,0.7411826058559545,50.331873775849665,9.888249211367855,9.888249211367855,0.004098279171986826,50.0,0.0
18,16200.0,49.99999999999999,-13.96668241309034,0.001869843,0.7413465143859734,50.351933913933294,9.871917068188132,9.871917068188132,0.004099185484290136,50.0,0.0
19,17100.0,50.00000000000001,-13.969201343463864,0.001869843,0.7414802183105821,50.37200143205279,9.858594633942362,9.858594633942362,0.004099924783897422,50.0,0.0
20,18000.0,49.999999999999986,-13.971257777333111,0.001857365,0.7415893730859211,50.39207497270206,9.847718353787446,9.847718353787446,0.004100528341966324,50.0,0.0
21,18900.0,49.99999999999999,-13.973327783118375,0.001857365,0.7416992482537151,50.412266265778534,9.612178974986891,9.612178974986891,0.004101135883357788,50.0,0.0
22,19800.0,49.999999999999986,-13.975019240150615,0.001857365,0.7417890301888946,50.43246251025249,9.603233063672144,9.603233063672144,0.004101632321660656,50.0,0.0
23,20700.0,49.99999999999999,-13.976402131243981,0.001857365,0.7418624335542409,50.45266280175161,9.595919140306819,9.595919140306819,0.004102038196651481,50.0,0.0
24,21600.0,50.0,-13.977533251791849,0.0018538,0.74192247302895,50.47286640273067,9.589936810608334,9.589936810608334,0.004102370177632624,50.0,0.0
25,22500.0,49.99999999999999,-13.978569647740718,0.0018538,0.7419774845557746,50.49310494733697,9.520289068713307,9.520289068713307,0.0041026743571867886,50.0,0.0
26,23400.0,50.0,-13.979417843017393,0.0018538,0.7420225064581336,50.51334597291314,9.51580310213678,9.51580310213678,0.004102923300326123,50.0,0.0
27,24300.0,50.0,-13.980112202711389,0.0018538,0.7420593628227052,50.533589029213104,9.512130751919994,9.512130751919994,0.0041031270931163,50.0,0.0
28,25200.0,49.99999999999999,-13.98068075457044,0.00188232,0.7420895413523295,50.55383374811349,9.50912378129823,9.50912378129823,0.004103293961629435,50.0,0.0
29,26100.0,50.0,-13.980261238905276,0.00188232,0.7420672736106497,50.57382194196765,10.024673832268899,10.024673832268899,0.00410317083485715,50.0,0.0
30,27000.0,49.99999999999999,-13.97991737527148,0.00188232,0.7420490214517762,50.593809130785544,10.02649245747816,10.02649245747816,0.004103069911762133,50.0,0.0
31,27900.0,49.99999999999999,-13.97963555224864,0.00188232,0.7420340623863749,50.61379549585258,10.027982963270668,10.027982963270668,0.004102987197427391,50.0,0.0
32,28800.0,49.99999999999999,-13.979404597199194,0.001893015,0.7420218033748343,50.63378118582198,10.029204439046424,10.029204439046424,0.004102919412712438,50.0,0.0
33,29700.0,49.999999999999986,-13.978882890971645,0.001893015,0.7419941113945997,50.65366961444385,10.224462867533209,10.224462867533209,0.004102766293272059,50.0,0.0
34,30600.0,49.99999999999999,-13.978455294365002,0.001893015,0.7419714147194321,50.67355679324934,10.226724340542642,10.226724340542642,0.0041026407947641645,50.0,0.0
35,31500.0,49.999999999999986,-13.978104879157055,0.001893015,0.7419528148053425,50.69344294776051,10.22857761783521,10.22857761783521,0.004102537948798928,50.0,0.0
36,32400.0,49.99999999999999,-13.977817746339593,0.001894798,0.741937573897939,50.71332826291021,10.230096207837509,10.230096207837509,0.004102453676053077,50.0,0.0
37,33300.0,49.99999999999998,-13.977527002033858,0.001894798,0.7419221412940279,50.733196767680475,10.26372610082713,10.26372610082713,0.004102368343344673,50.0,0.0
38,34200.0,49.99999999999999,-13.977288793339142,0.001894798,0.741909497261587,50.7530645760633,10.264985941400514,10.264985941400514,0.00410229842970343,50.0,0.0
39,35100.0,49.99999999999999,-13.977093642334264,0.001894798,0.7418991387159448,50.77293181391317,10.26601805842189,10.26601805842189,0.004102241153383772,50.0,0.0
40,36000.0,50.0,-13.97693377609408,0.001887668,0.7418906530730109,50.792798584372164,10.266863561214686,10.266863561214686,0.004102194233052101,50.0,1.0
41,36900.0,50.0,-13.977024904631621,0.001887668,0.7418954901432377,50.812729444696444,10.13804879602188,50.0,0.004102220979044258,50.0,1.0
42,37800.0,49.99999999999999,-13.977099536198105,0.001887668,0.7418994515601326,50.83266052324555,10.137654083047817,50.0,0.004102242883217702,50.0,1.0
43,38700.0,50.0,-13.977160658701077,0.001887668,0.7419026959207609,50.85259178051633,10.137330817127545,50.0,0.0041022608225156345,50.0,1.0
44,39600.0,49.99999999999999,-13.97721071840002,0.00187519,0.7419053530717022,50.87252318415983,10.137066060413371,50.0,0.004102275514908944,50.0,1.0
45,40500.0,49.99999999999999,-13.977640165501185,0.00187519,0.7419281479704581,50.892567539245526,9.910203379629547,50.0,0.004102401556532237,50.0,1.0
46,41400.0,50.0,-13.977991786152204,0.00187519,0.7419468118690353,50.91261292259779,9.908343719073338,50.0,0.004102504756291923,50.0,1.0
47,42300.0,49.99999999999999,-13.97827971697894,0.00187519,0.7419620951344862,50.93265914791705,9.906820903801936,50.0,0.004102589263251453,50.0,1.0
48,43200.0,49.99999999999999,-13.97851551607708,0.001869843,0.7419746112664014,50.95270606272764,9.905573804612697,50.0,0.0041026584696822795,50.0,1.0
49,44100.0,49.99999999999999,-13.978874901479925,0.001869843,0.7419936873152325,50.972801891875974,9.807432468100801,50.0,0.00410276394837672,50.0,1.0
50,45000.0,49.99999999999999,-13.97916921918536,0.001869843,0.7420093095939235,50.99289858162428,9.805875874605897,50.0,0.0041028503298687746,50.0,1.0
51,45900.0,49.99999999999999,-13.979410272661985,0.001869843,0.7420221046263723,51.01299597619195,9.804600986658727,50.0,0.004102921078446218,50.0,1.0
52,46800.0,49.99999999999999,-13.97960771669997,0.00186093,0.7420325848853928,51.033093948046215,9.803556741498594,50.0,0.0041029790277652125,50.0,1.0
53,47700.0,50.0,-13.980046264949058,0.00186093,0.7420558628698299,51.05327298712847,9.64081231044567,50.0,0.00410310774055209,50.0,1.0
54,48600.0,50.0,-13.980405436321643,0.00186093,0.7420749275580113,51.07345307640851,9.638912718356686,50.0,0.0041032131564292,50.0,1.0
55,49500.0,50.0,-13.980699631886772,0.00186093,0.7420905433535385,51.09363402585102,9.637356772402194,50.0,0.0041032995020733876,50.0,1.0
56,50400.0,49.99999999999999,-13.980940628826955,0.00186093,0.7421033353850531,51.11381567988183,9.636082184744982,50.0,0.004103370234057528,50.0,1.0
57,51300.0,49.99999999999999,-13.981138062175148,0.00186093,0.7421138150766633,51.133997911114314,9.635037997168578,50.0,0.004103428180239097,50.0,1.0
58,52200.0,50.0,-13.981299816905986,0.00186093,0.7421224009600066,51.15418061522609,9.63418250731274,50.0,0.004103475654837936,50.0,1.0
59,53100.0,50.0,-13.981432347454852,0.00186093,0.7421294356342081,51.17436370677207,9.633481578752674,50.0,0.004103514552214284,50.0,1.0
60,54000.0,50.0,-13.981540938360117,0.00186806,0.7421351996006771,51.19454711576146,9.63290726248182,50.0,0.004103546423366603,50.0,1.0
61,54900.0,49.99999999999999,-13.981408803494736,0.00186806,0.7421281859292137,51.21466631346686,9.76193893321655,50.0,0.004103507642122345,50.0,1.0
62,55800.0,49.99999999999999,-13.981300510736027,0.00186806,0.7421224377882574,51.23478519463775,9.762511671998341,50.0,0.004103475858475274,50.0,1.0
63,56700.0,49.99999999999999,-13.981211761148902,0.00186806,0.7421177269918691,51.254903816393586,9.762981050929067,50.0,0.004103449810698965,50.0,1.0
64,57600.0,49.99999999999999,-13.981139029921568,0.00187519,0.7421138664442976,51.27502222555289,9.763365711992897,50.0,0.004103428464270191,50.0,0.0
65,58500.0,50.0,-13.98085819743795,0.00187519,0.7420989599563644,51.295075988951474,9.893183810907479,9.893183810907479,0.00410334604065617,50.0,0.0
66,59400.0,49.99999999999999,-13.980628021158246,0.00187519,0.7420867422816436,51.315129079578696,9.894401166952315,9.894401166952315,0.00410327848450814,50.0,0.0
67,60300.0,50.0,-13.98043937769222,0.00187519,0.7420767291538396,51.33518161880863,9.895398864669856,9.895398864669856,0.004103223118134454,50.0,0.0
68,61200.0,49.99999999999999,-13.98028478223947,0.001885885,0.7420685232824203,51.355233706148525,9.896216489475561,9.896216489475561,0.004103177744765382,50.0,0.0
69,62100.0,49.99999999999999,-13.979825942140423,0.001885885,0.7420441682138342,51.37518871545074,10.091142440796776,10.091142440796776,0.004103043076372558,50.0,0.0
70,63000.0,50.0,-13.979449851230717,0.001885885,0.7420242054426653,51.395142625513955,10.093131509778384,10.093131509778384,0.004102932694654679,50.0,0.0
71,63900.0,50.0,-13.979141623315266,0.001885885,0.7420078448149946,51.415095634633694,10.094761666056684,10.094761666056684,0.004102842230551644,50.0,0.0
72,64800.0,49.99999999999999,-13.978889037946747,0.00188945,0.7419944376738427,51.43504790541564,10.096097540610424,10.096097540610424,0.004102768097393493,50.0,0.0
73,65700.0,49.99999999999999,-13.978571205545041,0.00188945,0.7419775672434717,51.45496733506469,10.161944902047848,10.161944902047848,0.0041026748143983644,50.0,0.0
74,66600.0,49.99999999999999,-13.978310764774905,0.00188945,0.7419637431404075,51.47488600339038,10.163322322741102,10.163322322741102,0.004102598375699976,50.0,0.0
75,67500.0,50.0,-13.97809737014364,0.00188945,0.7419524162295923,51.494804047892096,10.16445092600978,10.16445092600978,0.004102535744922743,50.0,0.0
76,68400.0,50.0,-13.977922535187245,0.001891233,0.7419431360525478,51.514721581275495,10.165375594873606,10.165375594873606,0.004102484431311234,50.0,0.0
77,69300.0,50.0,-13.977723823581094,0.001891233,0.7419325885114618,51.53462257328977,10.198518745239614,10.198518745239614,0.004102426109964232,50.0,0.0
78,70200.0,50.0,-13.97756102786212,0.001891233,0.74192394737284,51.554523089367436,10.199379741130532,10.199379741130532,0.004102378329838044,50.0,0.0
79,71100.0,49.99999999999999,-13.97742766342721,0.001891233,0.7419168684362651,51.574423215541316,10.200085080689577,10.200085080689577,0.004102339187718281,50.0,0.0
80,72000.0,49.99999999999999,-13.977318414173022,0.001894798,0.7419110695248704,51.59432302230762,10.200662879691441,10.200662879691441,0.0041023071233422395,50.0,0.0
81,72900.0,49.99999999999998,-13.977117908288003,0.001894798,0.7419004267441028,51.61419033110139,10.265889720329508,10.265889720329508,0.004102248275378988,50.0,0.0
82,73800.0,50.0,-13.976953654090229,0.001894798,0.7418917081899472,51.63405715967717,10.266758430179333,10.266758430179333,0.004102200067193013,50.0,0.0
83,74700.0,49.99999999999999,-13.976819104332003,0.001894798,0.7418845663368341,51.65392359486945,10.267470038971446,10.267470038971446,0.004102160577183895,50.0,0.0
84,75600.0,49.99999999999999,-13.976708891897287,0.001898363,0.7418787163001609,51.67378970782614,10.268052932286347,10.268052932286347,0.004102128230116838,50.0,0.0
85,76500.0,49.99999999999999,-13.976507539095742,0.001898363,0.7418680285653666,51.693623320423164,10.333284250319565,10.333284250319565,0.004102069133585758,50.0,0.0
86,77400.0,50.0,-13.976342602884761,0.001898363,0.7418592738101936,51.71345645079056,10.334156567557221,10.334156567557221,0.004102020725230653,50.0,0.0
87,78300.0,49.999999999999986,-13.976207504132633,0.001898363,0.7418521028166801,51.73328918615468,10.334871080161665,10.334871080161665,0.004101981074093232,50.0,0.0
88,79200.0,49.99999999999999,-13.97609684995658,0.001900145,0.7418462293325345,51.753121597979714,10.335456309999412,10.335456309999412,0.004101948597376225,50.0,0.0
89,80100.0,49.99999999999999,-13.97595065042521,0.001900145,0.7418384691136236,51.77293763106016,10.36830373181666,10.36830373181666,0.004101905688188555,50.0,0.0
90,81000.0,49.99999999999999,-13.975830906447438,0.001900145,0.7418321131460491,51.79275331402044,10.368937036041165,10.368937036041165,0.004101870543638046,50.0,0.0
91,81900.0,49.99999999999999,-13.975732834530028,0.001900145,0.7418269075236987,51.81256871022202,10.369455720761502,10.369455720761502,0.004101841759781695,50.0,0.0
92,82800.0,49.99999999999999,-13.975652514851745,0.001901928,0.741822644183861,51.83238387156824,10.369880517151474,10.369880517151474,0.004101818186162021,50.0,0.0
93,83700.0,50.0,-13.975531143438307,0.001901928,0.7418162018325827,51.85218271779092,10.402614627043562,10.402614627043562,0.004101782563963316,50.0,0.0
94,84600.0,49.99999999999999,-13.97543174200823,0.001901928,0.7418109256401747,51.87198127336242,10.403140343417137,10.403140343417137,0.004101753389898407,50.0,0.0
95,85500.0,50.0,-13.97535033627807,0.001901928,0.7418066046530913,51.89177959089851,10.403570883823798,10.403570883823798,0.00410172949752529,50.0,0.0
