,time,P_net,P_refrig,P_hvac_sup,T_store
0,0.0,0.0,0.0,0.0,18.0
1,900.0,0.015511886883572398,0.0007833333333333334,0.012228553550239064,16.440456924000003
2,1800.0,0.01622151808759375,0.0007313485641333333,0.012990169523460418,14.93313435872731
3,2700.0,0.01937001811008518,0.006394107184208287,0.010475910925876892,14.0
4,3600.0,0.0076443776011820026,0.0019817340318355843,0.0031626435693464182,14.0
5,4500.0,0.007573305025899108,0.001987350392907516,0.0030859546329915916,14.0
6,5400.0,0.007494298758068997,0.001993659681644168,0.00300063907642483,14.0
7,6300.0,0.007408546882625171,0.0020005889582913566,0.002907957924333815,14.0
8,7200.0,0.00731589305739873,0.002008174692726173,0.002807718364672557,14.0
9,8100.0,0.007217976117333847,0.0020163074753173486,0.0027016686420164985,14.0
10,9000.0,0.007114663543296723,0.00202502377594197,0.0025896397673547534,14.0
11,9900.0,0.007007136482905777,0.0020342506548458603,0.0024728858280599164,14.0
12,10800.0,0.006896122027473939,0.0020439516421519237,0.0023521703853220154,14.0
13,11700.0,0.006782331622454715,0.0020540902679830747,0.0022282413544716406,14.0
14,12600.0,0.006666457377380976,0.00206463006246222,0.002101827314918756,14.0
15,13500.0,0.0065495565423767076,0.00207549808583518,0.0019740584565415284,14.0
16,14400.0,0.006432245477398736,0.0020866578682248653,0.001845587609173871,14.0
17,15300.0,0.005815110579106999,0.002098072939754182,0.0017170376393528175,14.0
18,16200.0,0.0086987060668279,0.00210970683054604,0.0015889992362818585,14.0
19,17100.0,0.011584253385304492,0.0021214501309691713,0.0014628032543353205,14.0
20,18000.0,0.014471497003523197,0.002133339310900665,0.001338157692622533,14.0
21,18900.0,0.017361546513092355,0.0021452649607092487,0.0012162815523831072,14.0
22,19800.0,0.017254752619083692,0.0021571906105178323,0.0010975620085658597,14.0
23,20700.0,0.017169079790449324,0.0021690797904493258,0.001,14.0
24,21600.0,0.017180823090872457,0.002180823090872457,0.001,14.0
25,22500.0,0.019390517577272743,0.00065,0.006240517577272743,14.487852056000001
26,23400.0,0.02144652184799674,0.0006662617352000001,0.006280260112796739,14.963028564279778
27,24300.0,0.029864908241781694,0.007596843650024596,0.006401778877471387,15.717220816974676
28,25200.0,0.021344521029452203,0.0023429453714911715,0.006449004229389603,16.204008798488218
29,26100.0,0.02412494911890576,0.0023871779272953563,0.006494914048753262,16.67701764701866
30,27000.0,0.0239093049876699,0.002430266747318797,0.006540181097493962,17.136414349892775
31,27900.0,0.023698446857750573,0.0024721624854168785,0.0065851415151908415,17.58227306296848
32,28800.0,0.02364291379811167,0.002512808819906982,0.006630104978204684,18.014582136906384
33,29700.0,0.02372749988620548,0.0025521429427858007,0.00667535694341968,18.43325061121513
34,30600.0,0.023811498628372504,0.0025900559908411994,0.006721442637531303,18.838034260158256
35,31500.0,0.023894567920872325,0.0026265477897934697,0.006768020131078858,19.22878706338592
36,32400.0,0.02397736432492055,0.0026614644414409455,0.006815899883479606,19.605133937004457
37,33300.0,0.02405950325494396,0.0026947972751231275,0.006864705979820837,19.966807921394945
38,34200.0,0.021087773239047796,0.0027329333305113144,0.003854839908536482,20.0
39,35100.0,0.020687273810663844,0.0027470969316134037,0.0034401768790504384,20.0
40,36000.0,0.020592083045132943,0.0027572636382572867,0.003334819406875654,20.0
41,36900.0,0.02501480440081361,0.002765589820422534,0.0032492145803910753,20.0
42,37800.0,0.024955032223267466,0.0027720754781091505,0.0031829567451583164,20.0
43,38700.0,0.02491245052903723,0.002776720611317132,0.003135729917720097,20.0
44,39600.0,0.024886833005646827,0.0027795252200464777,0.003107307785600349,20.0
45,40500.0,0.02487804301160121,0.002780489304297193,0.003097553707304014,20.0
46,41400.0,0.024886833005646827,0.0027795252200464777,0.003107307785600349,20.0
47,42300.0,0.02491245052903723,0.002776720611317132,0.003135729917720097,20.0
48,43200.0,0.024955032223267466,0.0027720754781091505,0.0031829567451583164,20.0
49,44100.0,0.02372607844411867,0.0008725513356351073,0.003853527108483564,20.0
50,45000.0,0.023809473268919502,0.0008681491913501734,0.003941324077569329,20.0
51,45900.0,0.028765741697065004,0.008683718850301862,0.0010820228467631429,20.0
52,46800.0,0.025299204504664878,0.0027352649885364656,0.003563939516128412,20.0
53,47700.0,0.025428950821738714,0.0027223856538384035,0.00370656516790031,20.0
54,48600.0,0.02558318260210488,0.002715239774330042,0.003867942827774839,20.0
55,49500.0,0.025754892912632058,0.0027073916985694132,0.0040475012140626454,20.0
56,50400.0,0.02594565855660005,0.002698800120894621,0.004246858435705431,20.0
57,51300.0,0.021653418279932453,0.002689588958291356,0.004463829321641098,20.0
58,52200.0,0.021879803243006486,0.002679716905097724,0.004700086337908763,20.0
59,53100.0,0.022123641414789147,0.0026692665726375173,0.004954374842151629,20.0
60,54000.0,0.02238465827220152,0.0026582792665726385,0.005226379005628879,20.0
61,54900.0,0.0226625435929557,0.0026467962925649812,0.005515747300390719,20.0
62,55800.0,0.022956943035930166,0.002634858956276446,0.005822084079653721,20.0
63,56700.0,0.02326640187277086,0.0026225498690308287,0.00614385200374003,20.0
64,57600.0,0.023590392924299094,0.002609910336490025,0.00648048258780907,20.0
65,58500.0,0.023928320643983193,0.0025969816643159373,0.006831338979667253,20.0
66,59400.0,0.024279516066163465,0.0025838051581704626,0.007195710907993001,20.0
67,60300.0,0.024782108433310517,0.002570504735039292,0.007570460841128367,20.0
68,61200.0,0.025452876800619126,0.002557039089260528,0.007956980568501457,20.0
69,62100.0,0.02596933074885927,0.002543532137819867,0.008182941468182258,19.985494147088453
70,63000.0,0.026352857992779394,0.0025290661418855766,0.00827122042232239,19.94593741116855
71,63900.0,0.02673216446068211,0.0025129994343410537,0.008352879312055346,19.88330842110504
72,64800.0,0.027105481904435166,0.002495605077846139,0.008427591112303312,19.79967596173124
73,65700.0,0.025822539569322435,0.0008433225320577079,0.008479217037264725,19.635121657974086
74,66600.0,0.025863559882443793,0.0008378373885991363,0.008525722493844656,19.458347681823447
75,67500.0,0.032421110281553187,0.007271861741058376,0.008649248540494812,19.56982316161289
76,68400.0,0.027620678436563708,0.002424417669588159,0.008696260766975546,19.411111836581057
77,69300.0,0.027639916525085264,0.0024023654021758096,0.008737551122909457,19.241321327426103
78,70200.0,0.02765310179174378,0.0023801241977382047,0.008772977594005575,19.06217191521358
79,71100.0,0.02766053386099905,0.002357847504069224,0.00880268635692983,18.875333460743686
80,72000.0,0.027662492457399317,0.0023356829448728665,0.008826809512526448,18.68242919880142
81,72900.0,0.027659239087766317,0.002313772714179052,0.008845466373587265,18.48503924640624
82,73800.0,0.027650775657006143,0.0022922940517762372,0.008858481605229906,18.284783803815348
83,74700.0,0.027637842802256743,0.0022713041832973266,0.008866538618959417,18.083080220003083
84,75600.0,0.027620142928630496,0.0022510058974903905,0.008869137031140105,17.88147817886574
85,76500.0,0.02759839211020937,0.002231448940694416,0.008866943169514951,17.68132982674201
86,77400.0,0.027572512299507714,0.0022127887213682453,0.00885972357813947,17.484044597187022
87,78300.0,0.027542930980492736,0.0021951038116372517,0.00884782716885548,17.290924950667897
88,79200.0,0.02751004279180632,0.002178465697699518,0.0088315770941068,17.103174481476955
89,80100.0,0.02197372159601469,0.0021630174858685795,0.00881070411014611,16.922065302491347
90,81000.0,0.021934353629014393,0.0021488278218504396,0.008785525807163953,16.748772951326742
91,81900.0,0.021892296591204202,0.002135959654614783,0.00875633693658942,16.584383716820085
92,82800.0,0.01684788217183818,0.0021244709210138167,0.008723411250824363,16.429901412430297
93,83700.0,0.017585835102705834,0.002114415171009406,0.012971419931696431,14.970053467934457
94,84600.0,0.01243773951095935,0.0020238062785506977,0.007913933232408653,14.0
95,85500.0,0.007867049400097262,0.0019644837799717915,0.0034025656201254703,14.0
