,time,SoC,P_actual,E_available,V_terminal,T_cell,R_internal,Q_capacity
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,900.0,0.5,0.0,0.024563071516358503,53.02908358453909,1.170000000000016,0.012,5.0
2,1800.0,0.5927316747847425,0.019999999999999997,0.029308435598794612,55.87462064377132,4.565601688944355,0.12263796222880946,5.0
3,2700.0,0.5177920006742625,-0.015000000000000012,0.025746594166790513,51.858346247005386,6.997090105884524,0.10133593289039468,4.999694814907455
4,3600.0,0.3885829663729234,-0.025000000000000005,0.018898013228682037,50.12974731743121,13.021662641182616,0.08792885846628108,4.999589095985207
5,4500.0,0.33815134320953294,-0.010000000000000004,0.016076666935111686,51.375646579861765,13.059912971172025,0.06415161599498803,4.999452571126381
6,5400.0,0.387185717108477,0.00999999999999998,0.018444211928746884,52.84009346263879,12.302563639652362,0.06471143943876902,4.9994069339286
7,6300.0,0.3622514201792235,-0.004999999999999987,0.01729141505118851,51.956594592166326,11.777933345148085,0.06664420559148411,4.999365614502656
8,7200.0,0.3372115579614673,-0.004999999999999985,0.015979972426347824,51.73776423076949,11.329523400996322,0.06885459861058019,4.999345042923132
9,8100.0,0.31208356301813,-0.00500000000000001,0.014669797641578343,51.55650862346157,10.954879362954557,0.0709498280999375,4.999324975516167
10,9000.0,0.28686614927191756,-0.004999999999999987,0.013360586176496375,51.37389502869154,10.652986355248345,0.07293422458945142,4.999305377078605
11,9900.0,0.28686614927191756,0.0,0.01331475147114653,51.678087488898626,10.001871933740631,0.07481368195986506,4.999286203282364
12,10800.0,0.31168071806677894,0.004999999999999981,0.01455282169073149,52.208120469436274,9.376137211362675,0.07750160021124342,4.999285193632763
13,11700.0,0.33639208306500124,0.004999999999999972,0.01583913187248935,52.426353233465704,8.84963699991249,0.079458282296881,4.9992668514444
14,12600.0,0.33639208306500124,0.0,0.015888838973574345,52.08492577564007,8.421540394230988,0.08116001573002019,4.999249034097424
15,13500.0,0.33639208306500124,0.0,0.015888836166854724,52.05541988137537,8.054866785752097,0.08308961521805457,4.999248150993859
16,14400.0,0.33639208306500124,0.0,0.015888833424377073,52.04956248782441,7.745096940282963,0.08478541433969207,4.999247288103324
17,15300.0,0.33639208306500124,0.0,0.01588883073515122,52.04836810162986,7.488009327696886,0.08624985931717515,4.999246441967885
18,16200.0,0.36101945632790106,0.004999999999999979,0.01712558501544065,52.60537699961998,7.2834060176479625,0.08748789260466279,4.99924560951806
19,17100.0,0.38555772719858605,0.005000000000000013,0.018412371976716232,52.79657810777888,7.133738675161737,0.08792711871494922,4.999228323351096
20,18000.0,0.38555772719858605,0.0,0.018464895519639517,52.39690588067309,7.010169790723808,0.08820832842242389,4.9992114639830465
21,18900.0,0.38555772719858605,0.0,0.01846489261436851,52.36178116942324,6.924716070455304,0.08881623033118431,4.999210677405936
22,19800.0,0.38555772719858605,0.0,0.01846488972487453,52.354054295837024,6.874153222156224,0.08923951117345638,4.999209895100323
23,20700.0,0.3605354130232565,-0.005000000000000008,0.01720097101015431,51.77545543179926,7.252605340638468,0.08949108907717583,4.9992091153124365
24,21600.0,0.335423474020184,-0.005000000000000004,0.01588619253306254,51.59084211412121,7.6326529735702024,0.08808823463991242,4.99919226060203
25,22500.0,0.335423474020184,0.0,0.015838070086059315,51.99718239727091,7.604005159373742,0.08681399792048697,4.999175638683956
26,23400.0,0.335423474020184,0.0,0.015838067427656456,52.032381333540755,7.60425850319325,0.08695199893536927,4.999174799577755
27,24300.0,0.335423474020184,0.0,0.015838064769210874,52.039829375387804,7.63037600318745,0.08695079212794836,4.9991739604580685
28,25200.0,0.335423474020184,0.0,0.015838062106357752,52.041406096377685,7.6794929744732485,0.08682499958778031,4.999173119947174
29,26100.0,0.3600565822337633,0.005000000000000001,0.017074938311040407,52.59390117945574,7.750019545851728,0.08658899902312969,4.999172276814404
30,27000.0,0.3349858340690399,-0.004999999999999979,0.01586313893655449,51.675977205137116,8.234298303593619,0.08570344578767976,4.9991562571951205
31,27900.0,0.20315669863787977,-0.024999999999999988,0.009196116850891523,49.137831494859604,14.928715329954741,0.0839858163189819,4.999140213130641
32,28800.0,0.06992612865912942,-0.025000000000000015,0.00245452087218428,48.62170698240366,20.486978884487826,0.06235270456315531,4.999063124464668
33,29700.0,0.020000000000199705,-0.009027655971898045,9.187180703076352e-15,46.85409138551131,21.332244097153705,0.05630134927120845,4.998990234330261
34,30600.0,0.02,-3.368398749368269e-14,0.0,43.7056660975512,20.353223765370615,0.07144336421299473,4.998962418942253
35,31500.0,0.02,0.0,0.0,43.7225853674607,19.47461754645377,0.07539265118615616,4.99895989856496
36,32400.0,0.02,0.0,0.0,43.723749492909604,18.686408385286086,0.07915562534813722,4.998957503861973
37,33300.0,0.02,0.0,0.0,43.72383750030912,17.979511197147247,0.08271926081188583,4.9989552171606
38,34200.0,0.02,0.0,0.0,43.7238447237318,17.345440248884813,0.0860754307902168,4.998953023636038
39,35100.0,0.02,0.0,0.0,43.72384536083577,16.776427644559135,0.08922164743190886,4.998950910818255
40,36000.0,0.02,0.0,0.0,43.72384542068919,16.265362601136587,0.09215970173505712,4.998948868180274
41,36900.0,0.02,0.0,0.0,43.72384542663322,15.805566674213765,0.09489503673267931,4.9989468868100655
42,37800.0,0.10454545555871855,0.014999999999999993,0.0035665168723501973,45.97326361292065,15.83266072440648,0.09743706965621396,4.998944959166821
43,38700.0,0.18148102652401343,0.015000000000000015,0.0076478739940056065,50.52102501966419,15.278502901885702,0.06652978219508446,4.998902015910219
44,39600.0,0.30419737533719704,0.02500000000000001,0.013897243960966426,52.78966816132502,16.629295373568254,0.062266945195032564,4.9988643418394805
45,40500.0,0.42489941579083723,0.024999999999999967,0.020248018277003156,53.67124584093425,18.0686786950302,0.054332917626109686,4.9988075839145925
46,41400.0,0.5443415847800614,0.024999999999999977,0.02660095990212365,54.2379473100029,19.26858999943022,0.04930352495167691,4.998754201806419
47,42300.0,0.6159934925036039,0.015000000000000001,0.03064543829202683,54.248637196329284,18.948197458158404,0.04628898217438979,4.998703397134825
48,43200.0,0.7331765322475421,0.024999999999999977,0.03698219375452126,55.28447707400993,19.841987712594914,0.047321305940012555,4.998673178912282
49,44100.0,0.8032236369945953,0.015000000000000008,0.0412274815886993,55.49235209653992,19.21153625869846,0.04651144272841629,4.998625912436658
50,45000.0,0.9174829582584794,0.02500000000000001,0.04773390776965289,56.69997830807608,19.328651150317455,0.04961679535176955,4.998597592773802
51,45900.0,0.97999999999975,0.013882671859526588,0.05236426927988083,57.54571653699007,17.956968183144397,0.05629114227216224,4.998553407285506
52,46800.0,0.98,5.610115557221277e-14,0.0538235195234235,58.147854405679155,17.324804225591492,0.08336345475198784,4.998528771817289
53,47700.0,0.9345725285098894,-0.009999999999999978,0.05127655371066991,57.045596043956074,18.60563829965463,0.08641907487208299,4.998526661581437
54,48600.0,0.888369264684913,-0.009999999999999995,0.04764676328900113,56.087956265308236,19.543473612603123,0.061082149966001295,4.998508428481425
55,49500.0,0.911348790433385,0.005000000000000021,0.04821762852390457,56.3861971401744,18.35757719615202,0.05287615735107033,4.998490109593067
56,50400.0,0.9789344398888565,0.015000000000000015,0.05220538109395652,57.51505002654557,17.09757006948115,0.05847786247112038,4.998480076606945
57,51300.0,0.9799999999999958,0.00023905387346502,0.053788570388181,58.1386258101963,16.43030753091864,0.08633055755127564,4.99845478482761
58,52200.0,0.9345283311114702,-0.009999999999999993,0.05127331418347212,56.99099551936292,17.73400370117679,0.09096983181511493,4.998452420832599
59,53100.0,0.888292573270027,-0.00999999999999996,0.0476410674471255,56.049361898944966,18.67289393441081,0.06398662344762572,4.9984349728361925
60,54000.0,0.9112680678668569,0.00499999999999997,0.04821162281275947,56.39691035784164,17.46657792178712,0.0553041617960331,4.998417431533821
61,54900.0,0.9787991082947741,0.015000000000000038,0.052195979113604116,57.5623915327466,16.22899770268714,0.061285876744346025,4.99840783637835
62,55800.0,0.9799999999999952,0.000269429007129431,0.05378349741847622,58.14248926545728,15.519790138621545,0.09058188751891412,4.998383611460897
63,56700.0,0.934480319070305,-0.009999999999999997,0.051269893110031974,56.931693854864264,16.821226554261784,0.09589114063834168,4.9983813238059955
64,57600.0,0.8882086450482509,-0.009999999999999988,0.04763493642632955,56.00664500644116,17.739840455189267,0.06720362374878666,4.998364578938011
65,58500.0,0.8649375218480292,-0.004999999999999991,0.045703841296447965,55.68123914646243,17.460706246793166,0.05805372242513589,4.998347738357413
66,59400.0,0.8880305615429104,0.004999999999999979,0.04669766341129201,56.110733009481656,16.254812017573272,0.05716373361227114,4.998338447405133
67,60300.0,0.9336142028598882,0.010000000000000014,0.04941624699507701,56.852401922410195,14.994804259344903,0.06276462561578458,4.998329328742256
68,61200.0,0.9562132228855368,0.005000000000000004,0.05134897050553828,57.33761611154363,13.848943592098692,0.0740519638714547,4.998313181214557
69,62100.0,0.9334325024004403,-0.004999999999999986,0.05057137235949152,56.88038737366513,13.94716666880106,0.0864621208156412,4.998304420637086
70,63000.0,0.8870379898128292,-0.010000000000000021,0.047551513063637176,55.859126496287445,15.02747715355423,0.07842643999640853,4.998295672730006
71,63900.0,0.8637338282572665,-0.005000000000000018,0.045624627614645544,55.60305748082426,14.825546121360844,0.06691570699160933,4.998279622910042
72,64800.0,0.8868154933236776,0.004999999999999984,0.046619531774862714,56.139143473038914,13.701030171484149,0.06559214675006546,4.998270858100043
73,65700.0,0.9323281722916312,0.010000000000000026,0.04933091627819731,56.94180901175264,12.577072037476682,0.07186360902415727,4.9982622564860835
74,66600.0,0.9549108933098396,0.00499999999999998,0.05125256229817343,57.379760572616924,11.49959434623895,0.08438557790131243,4.998246872009549
75,67500.0,0.9320911689037391,-0.005000000000000008,0.05046615177846652,56.78391422674574,11.654863716050386,0.0982677030985035,4.998238585588441
76,68400.0,0.8855658229690416,-0.010000000000000028,0.047446737589072384,55.70277445902952,12.847737703445432,0.08883750410161823,4.998230283729388
77,69300.0,0.8622280264865163,-0.004999999999999988,0.045525853494218047,55.52364031156808,12.685540325540444,0.07514717634121822,4.9982148857713495
78,70200.0,0.8853015347826656,0.005000000000000018,0.04652248366985364,56.15971196958271,11.611590012949762,0.07348380299688118,4.998206544574769
79,71100.0,0.9307530426900001,0.01000000000000001,0.049226514377797945,57.01917321276221,10.595905814535797,0.08041420432583571,4.998198363264377
80,72000.0,0.9533236168722488,0.005000000000000007,0.05113560067256266,57.411367199101484,9.568681436621603,0.09398183717055292,4.998183624115552
81,72900.0,0.9304645220381584,-0.00499999999999999,0.05033922843581214,56.68682767488314,9.769259805521813,0.10911908448724729,4.998175726934742
82,73800.0,0.883811654830399,-0.01000000000000002,0.04732205753271872,55.551210650193724,11.06353394499007,0.0984744256266154,4.998167792014398
83,74700.0,0.8604405055579523,-0.004999999999999982,0.04540897725099548,55.44508999966557,10.938586942704035,0.08271270676645458,4.998152949818197
84,75600.0,0.8835089474653889,0.005000000000000007,0.04640791539333603,56.17273812977168,9.91632659834869,0.08071085777632327,4.998144959663174
85,76500.0,0.9289106408785546,0.010000000000000002,0.04910461415810462,57.08243369570815,9.007967526575953,0.08816341271621593,4.9981371272329636
86,77400.0,0.9514740132308742,0.004999999999999984,0.051000002720629954,57.43038916132509,8.037714375692417,0.10243006415805689,4.998122940690538
87,78300.0,0.9285767050329581,-0.00500000000000001,0.05019281720065503,56.592906366716214,8.293216172963184,0.11839511611642971,4.998115365704334
88,79200.0,0.905469584196579,-0.004999999999999999,0.04847528793312589,56.079128447300725,8.461263684272637,0.10668541219042924,4.998107734322866
89,80100.0,0.8822004517628086,-0.005000000000000007,0.046853746146336576,55.68876207889116,8.553375203920552,0.09966085622796023,4.998100087845993
90,81000.0,0.8822004517628086,0.0,0.046565775017641246,55.9503748967298,7.922530309859383,0.09505602236509222,4.998092444305135
91,81900.0,0.7595232787072981,-0.024999999999999998,0.03994021032482905,52.81469247344977,15.393255691344677,0.09855246156033394,4.998091394798092
92,82800.0,0.6366459690466622,-0.02500000000000002,0.032575822719845805,52.7290461296092,18.984192160541056,0.05894187440970027,4.9980557860079164
93,83700.0,0.5126000077563085,-0.02499999999999997,0.025605180282458635,52.23264766793884,21.220799595388655,0.04738769673021173,4.998020563116441
94,84600.0,0.43813858052655075,-0.01500000000000001,0.02141932093528176,52.20926911638843,20.941112829114616,0.04204239289622214,4.997985466965444
95,85500.0,0.38835392555382414,-0.010000000000000014,0.018712096255441967,52.05879088363737,20.028251069406338,0.04274085662176429,4.99796397051329
